URL,ALLOWABLE
https://www.tamuk.edu/artsci/departments/clhs/csdo/CSDOProgramGoals23_24.html,Yes
https://www.tamuk.edu/artsci/departments/clhs/csdo/GraduateProgram/Clinic-Manual-8-16-23-1.docx,Yes
https://www.tamuk.edu/artsci/departments/clhs/csdo/GraduateProgram/CSDO-Program-Goals-2023.docx,Yes
https://www.tamuk.edu/artsci/departments/clhs/csdo/StrategicPlan.html,Yes
https://www.tamuk.edu/artsci/departments/clhs/scwk/graduate-degrees/Assessment-Data-Collected-during-the-Academic-Year-21-22.docx,Yes
https://www.tamuk.edu/artsci/departments/clhs/scwk/graduate-degrees/FORM-AS-4M.pdf,Yes
https://www.tamuk.edu/artsci/departments/clhs/scwk/undergraduate-degrees/BSW-Field-Education-Handbook2023.docx,Yes
https://www.tamuk.edu/artsci/departments/clhs/scwk/undergraduate-degrees/BSW-Form-AS41.docx,Yes
https://www.tamuk.edu/artsci/departments/clhs/scwk/undergraduate-degrees/BSW-Student-Handbook-Revised-Jan-2024.docx,Yes
https://www.tamuk.edu/artsci/departments/clhs/scwk/undergraduate-degrees/BSW-Student-Handbook-Revised-May-2023.docx,Yes
https://www.tamuk.edu/artsci/departments/clhs/scwk/undergraduate-degrees/BSW-Student-Handbook-Revised-May-20231.docx,Yes
https://www.tamuk.edu/artsci/departments/clhs/scwk/undergraduate-degrees/index.html,Yes
https://www.tamuk.edu/artsci/departments/hpsp/Genocide/B-is-for-Bosnia.html,Yes
https://www.tamuk.edu/artsci/departments/hpsp/pols/globalstudies/index.html,Yes
https://www.tamuk.edu/artsci/departments/lang/faculty/Kenneth-R-Price.html,Yes
https://www.tamuk.edu/artsci/departments/lang/wgst/index.html,Yes
https://www.tamuk.edu/artsci/departments/math/abstract-book.pdf,Yes
https://www.tamuk.edu/artsci/departments/math/scholar/publications.html,Yes
https://www.tamuk.edu/artsci/departments/musi/faculty-staff/alexandersb.html,Yes
https://www.tamuk.edu/artsci/departments/psyc/faculty/b-green.html,Yes
https://www.tamuk.edu/artsci/departments/psyc/faculty/k-thompson.html,Yes
https://www.tamuk.edu/artsci/departments/psyc/minors/anthropology.html,Yes
https://www.tamuk.edu/artsci/_assets_COAS/clhs/CSDO/clinic/Clinic-Manual-8-16-23.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/biol/cv/perrigo_cv.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/biol/cv/xi_cv.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/biol/nutrition/2021-2022_DPD_Student_Handbook.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/biol/nutrition/Dietetic-Internship-Manual-2022-2023.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/biol/nutrition/Dietetic-Internship-Manual-2023-2024.doc,Yes
https://www.tamuk.edu/artsci/_files_COAS/biol/nutrition/Dietetic-Internship-Manual.doc,Yes
https://www.tamuk.edu/artsci/_files_COAS/biol/nutrition/manual.doc,Yes
https://www.tamuk.edu/artsci/_files_COAS/biol/nutrition/TAMUK_DPD_Student_Handbook-19-20.docx,Yes
https://www.tamuk.edu/artsci/_files_COAS/CSDO/ClinicFiles/Clinic-Manual-2021.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/CSDO/ClinicFiles/ClinicManual2019.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/CSDO/ClinicFiles/Tamuk-Clinic-Manual-updated-3-15-2021.pdf,Yes
https://www.tamuk.edu/artsci/_files_COAS/CSDO/FacultyCVs/FiestasCV.pdf,Yes
